filepath,label
data/images/Motorola_Edge_H493_01.jpg,fine
data/images/Motorola_Edge_H368_03.jpg,coarse
data/images/Samsung_A52_H030_03.jpg,medium
data/images/Samsung_A52_H030_02.jpg,medium
data/images/Samsung_A52_H374_01.jpg,coarse
data/images/Motorola_Edge_H030_04.jpg,medium
data/images/Motorola_Edge_H368_02.jpg,coarse
data/images/Motorola_Edge_H493_02.jpg,fine
data/images/Samsung_A52_H030_01.jpg,medium
data/images/Samsung_A52_H374_02.jpg,coarse
data/images/Motorola_Edge_H366_04.jpg,coarse
data/images/Motorola_Edge_H368_01.jpg,coarse
data/images/Motorola_Edge_H493_03.jpg,fine
data/images/Motorola_Edge_H030_03.jpg,medium
data/images/Samsung_A52_H493_01.jpg,fine
data/images/Motorola_Edge_H374_01.jpg,coarse
data/images/Motorola_Edge_H030_02.jpg,medium
data/images/Motorola_Edge_H368_04.jpg,coarse
data/images/Motorola_Edge_H366_01.jpg,coarse
data/images/Motorola_Edge_H366_03.jpg,coarse
data/images/Motorola_Edge_H374_03.jpg,coarse
data/images/Samsung_A52_H493_02.jpg,fine
data/images/Samsung_A52_H368_01.jpg,coarse
data/images/Motorola_Edge_H374_02.jpg,coarse
data/images/Motorola_Edge_H030_01.jpg,medium
data/images/Motorola_Edge_H366_02.jpg,coarse
data/images/Samsung_A52_H038_04.jpg,coarse
data/images/Motorola_Edge_H372_04.jpg,coarse
data/images/Motorola_Edge_H126_02.jpg,fine
data/images/Motorola_Edge_H038_02.jpg,coarse
data/images/Samsung_A52_H372_02.jpg,coarse
data/images/Samsung_A52_H616_01.jpg,medium
data/images/Motorola_Edge_H038_03.jpg,coarse
data/images/Motorola_Edge_H126_03.jpg,fine
data/images/Motorola_Edge_H405_01.jpg,fine
data/images/Samsung_A52_H038_05.jpg,coarse
data/images/Motorola_Edge_H405_03.jpg,fine
data/images/Motorola_Edge_H126_01.jpg,fine
data/images/Motorola_Edge_H038_01.jpg,coarse
data/images/Samsung_A52_H616_02.jpg,medium
data/images/Samsung_A52_H372_01.jpg,coarse
data/images/Motorola_Edge_H405_02.jpg,fine
data/images/Samsung_A52_H038_02.jpg,coarse
data/images/Motorola_Edge_H372_02.jpg,coarse
data/images/Motorola_Edge_H616_01.jpg,medium
data/images/Samsung_A52_H405_01.jpg,fine
data/images/Motorola_Edge_H372_03.jpg,coarse
data/images/Samsung_A52_H038_03.jpg,coarse
data/images/Samsung_A52_H038_01.jpg,coarse
data/images/Motorola_Edge_H616_02.jpg,medium
data/images/Motorola_Edge_H372_01.jpg,coarse
data/images/Samsung_A52_H126_01.jpg,fine
data/images/Samsung_A52_H405_03.jpg,fine
data/images/Samsung_A52_H405_02.jpg,fine
data/images/Motorola_Edge_H616_03.jpg,medium
data/images/Samsung_A52_H031_01.jpg,coarse
data/images/Motorola_Edge_H549_01.jpg,fine
data/images/Samsung_A52_F827_02.jpg,fine
data/images/Samsung_A52_F827_03.jpg,fine
data/images/Samsung_A52_H031_02.jpg,coarse
data/images/Motorola_Edge_H549_02.jpg,fine
data/images/Samsung_A52_F827_01.jpg,fine
data/images/Samsung_A52_H367_01.jpg,coarse
data/images/Motorola_Edge_H549_03.jpg,fine
data/images/Samsung_A52_H031_03.jpg,coarse
data/images/Samsung_A52_H549_01.jpg,fine
data/images/Motorola_Edge_F827_02.jpg,fine
data/images/Motorola_Edge_H367_02.jpg,coarse
data/images/Motorola_Edge_H031_01.jpg,coarse
data/images/Samsung_A52_H637_03.jpg,coarse
data/images/Samsung_A52_H637_02.jpg,coarse
data/images/Motorola_Edge_H367_03.jpg,coarse
data/images/Samsung_A52_H549_02.jpg,fine
data/images/Motorola_Edge_F827_01.jpg,fine
data/images/Motorola_Edge_H367_01.jpg,coarse
data/images/Motorola_Edge_H031_02.jpg,coarse
data/images/Motorola_Edge_H031_03.jpg,coarse
data/images/Samsung_A52_H637_01.jpg,coarse
data/images/Motorola_Edge_H516_02.jpg,coarse
data/images/Samsung_A52_G190_01.jpg,medium
data/images/Motorola_Edge_H371_03.jpg,coarse
data/images/Samsung_A52_H617_03.jpg,medium
data/images/Samsung_A52_H037_03.jpg,coarse
data/images/Samsung_A52_H183_01.jpg,coarse
data/images/Motorola_Edge_H181_02.jpg,coarse
data/images/Motorola_Edge_H181_03.jpg,coarse
data/images/Samsung_A52_H371_04.jpg,coarse
data/images/Samsung_A52_H037_02.jpg,coarse
data/images/Samsung_A52_H617_02.jpg,medium
data/images/Motorola_Edge_H615_01.jpg,coarse
data/images/Motorola_Edge_H371_02.jpg,coarse
data/images/Motorola_Edge_H668_01.jpg,fine
data/images/Motorola_Edge_H516_03.jpg,coarse
data/images/Motorola_Edge_H516_01.jpg,coarse
data/images/Samsung_A52_G190_02.jpg,medium
data/images/Motorola_Edge_H183_04.jpg,coarse
data/images/Motorola_Edge_H668_03.jpg,fine
data/images/Samsung_A52_H183_02.jpg,coarse
data/images/Motorola_Edge_H181_01.jpg,coarse
data/images/Samsung_A52_H183_03.jpg,coarse
data/images/Samsung_A52_H668_04.jpg,fine
data/images/Samsung_A52_H037_01.jpg,coarse
data/images/Samsung_A52_H666_01.jpg,medium
data/images/Samsung_A52_H617_01.jpg,medium
data/images/Motorola_Edge_H371_01.jpg,coarse
data/images/Motorola_Edge_H615_02.jpg,coarse
data/images/Motorola_Edge_H668_02.jpg,fine
data/images/Samsung_A52_G190_03.jpg,medium
data/images/Motorola_Edge_H183_01.jpg,coarse
data/images/Samsung_A52_H181_02.jpg,coarse
data/images/Motorola_Edge_H037_03.jpg,coarse
data/images/Motorola_Edge_H666_03.jpg,medium
data/images/Samsung_A52_H371_03.jpg,coarse
data/images/Motorola_Edge_H617_03.jpg,medium
data/images/Motorola_Edge_G190_01.jpg,medium
data/images/Motorola_Edge_H181_04.jpg,coarse
data/images/Motorola_Edge_H617_02.jpg,medium
data/images/Samsung_A52_H615_01.jpg,coarse
data/images/Samsung_A52_H371_02.jpg,coarse
data/images/Samsung_A52_H668_01.jpg,fine
data/images/Motorola_Edge_H666_02.jpg,medium
data/images/Motorola_Edge_H037_02.jpg,coarse
data/images/Motorola_Edge_H183_02.jpg,coarse
data/images/Samsung_A52_H181_01.jpg,coarse
data/images/Samsung_A52_H668_03.jpg,fine
data/images/Samsung_A52_H615_03.jpg,coarse
data/images/Samsung_A52_H516_01.jpg,coarse
data/images/Motorola_Edge_G190_02.jpg,medium
data/images/Motorola_Edge_H617_01.jpg,medium
data/images/Samsung_A52_H371_01.jpg,coarse
data/images/Samsung_A52_H615_02.jpg,coarse
data/images/Samsung_A52_H668_02.jpg,fine
data/images/Motorola_Edge_H037_01.jpg,coarse
data/images/Motorola_Edge_H666_01.jpg,medium
data/images/Motorola_Edge_H183_03.jpg,coarse
